Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
302.1,310.1,1379,48.2,166,1
298.8,308.6,1486,41.9,92,0
301,312.2,2710,9.7,143,1
302.4,310.2,1351,45.1,168,1
297.9,308.1,1393,50.3,193,0
298.8,308.9,1379,46.7,204,0
297.3,308.6,1297,45.9,184,0
298.4,308.7,1421,60.7,119,1
297.6,308.7,1319,50.9,141,0
298.8,308.8,1497,46.8,72,0
297.8,308.9,1871,25.6,200,1
298.5,308.4,1733,26,8,0
297.5,308.6,1596,37.1,30,0
298.3,308.6,1432,49.5,91,0
299.7,309.2,1685,28.9,179,1
298.4,308.2,1528,36.2,196,0
297.6,308.4,1517,34.2,66,0
297.6,308.3,1617,31.7,39,0
298.3,308.6,1584,29.3,162,0
303.5,311.9,1344,49.3,93,1
297.6,308.4,1353,57.5,88,0
298.2,308.3,1589,33.2,94,0
302.4,311.9,1290,70,139,1
297.9,308.1,1627,31.4,209,0
298.7,310.1,1402,69.7,64,1
298.9,308.9,1422,47.6,15,0
298.8,309,1592,38.2,169,0
297.4,309,1570,37.9,154,0
302.2,310.6,1346,49.2,134,1
303.2,311.5,1336,58.2,2,1
297.4,309.1,1463,35,183,0
302.3,310.8,1377,47.3,22,1
297.4,308.5,1469,45.1,63,0
297.3,308.3,1301,39.6,5,0
302.5,310.3,1326,58.5,55,1
301.4,310.7,1368,63.7,92,1
302,310.8,1383,50.3,231,1
297.3,308.6,1456,42.9,122,0
298.3,308.4,1408,43.1,177,0
298.6,308.4,1778,28.2,161,0
298.4,308.2,1612,32.6,10,0
301.7,309.8,1284,68.2,111,1
298.1,308.6,1716,30.7,119,0
298.4,308.6,1609,35,103,0
303.2,311.4,1351,53.8,8,1
298.8,309.1,1418,46.3,133,0
298,308.2,1514,37.9,9,0
300.3,309.9,1394,46.7,210,1
302.4,310.9,1349,46.1,148,1
302.8,312.4,1411,53.8,246,1
297.7,308.7,1249,60.4,143,0
298.8,309.1,1559,34.7,95,0
298.9,308.7,1727,29.4,116,0
297.3,308.3,1333,55.2,11,0
297.4,308.9,1323,57.3,163,0
297.5,308.6,1388,48.2,203,0
300.6,310.7,1438,48.5,78,1
297.5,308.3,1622,37.2,103,0
298.5,308.4,1612,36.1,174,0
299.2,309,1515,48.9,228,1
298.9,308.9,1487,39.5,30,0
297.3,308.2,1754,29.4,123,0
297.4,308.2,1471,46.5,25,0
297.3,308.7,1478,47.6,98,0
302.7,311.1,1297,60.7,125,1
299.2,308.5,1378,50.4,220,1
298.9,309.3,1581,30.7,65,0
303.6,312.8,2659,11.4,26,1
297.6,309.3,1543,34.3,8,0
298.3,308.5,1416,52.7,151,0
298,308.2,1611,30.6,195,0
302.7,310.4,1305,55.2,20,1
297.8,308.4,1622,38.3,134,0
297.5,309.2,1347,55.8,188,0
300.8,309.9,1312,65.3,192,1
302.3,310.9,1710,30.4,218,1
301.1,310.4,1312,73.6,49,1
297.5,308.3,1459,45.2,34,0
298.6,308.4,1391,42.4,169,0
298.1,308.6,1354,53.9,207,1
298.5,309.4,1360,60.9,187,1
301.9,310.4,1370,51.7,153,1
297.4,309.2,1620,33.2,28,0
298.8,308.8,1441,40.5,63,0
301.6,310.6,1309,65.8,75,1
298.8,309.1,1512,40.7,156,0
298,308.1,1777,24.3,200,0
298.7,309.2,1410,45.6,47,0
298.8,308.8,1555,40.6,61,0
298.1,308.2,1420,63.9,19,1
297.4,309,1468,41.4,156,0
302.6,311,1284,68,114,1
299.1,310.2,1317,54.8,231,1
298.5,308.3,1440,43.6,5,0
299.6,309.2,1867,23.4,225,1
298.6,309.1,1423,44.3,29,0
298.1,308.4,1335,40.2,109,0
297.5,308.6,1842,27,133,0
298.8,308.8,1523,44.4,55,0
298.4,308.2,1471,47,214,0
297.4,308.7,1433,43.4,116,0
302.2,311.3,1530,37.3,207,1
297.8,308.5,1488,41.9,196,0
297.6,308.3,1658,34.3,59,0
298.2,308.4,1678,34.6,81,0
298.2,308.3,1805,31.6,96,0
297.6,308.4,1611,31,48,0
297.5,308.2,1713,32.2,17,0
298.9,309.2,1379,50.7,106,0
298.9,309.1,1383,54.9,145,0
297.8,309,1403,64.2,0,1
298.4,308.2,1987,19.8,198,0
298.3,308.5,1453,42.9,89,0
297.4,309.1,1582,35.9,180,0
297.5,308.3,1544,40.8,37,0
304,313.2,1271,68.6,161,1
301.9,309.9,1374,48.5,180,1
297.5,309.5,1448,43.7,46,0
299,309.9,1373,55.7,201,1
298.3,308.5,1575,41.2,105,0
302.1,310.7,1376,46.3,210,1
297.4,308.7,1429,57.4,96,0
296.9,307.5,2721,9.3,18,1
298,308.6,1453,44.1,165,0
298.9,309,1812,25.9,174,0
302.5,310.4,1349,55.1,187,1
300.3,311.7,1374,47.9,222,1
303.6,312.2,1371,54.6,112,1
300.5,309.9,1397,45.9,210,1
297.4,308.7,1510,36.2,92,0
302.1,310.7,1359,49.3,41,1
298.9,308.5,1559,34.3,126,0
303.4,312.6,2706,9.8,65,1
299,309.5,1861,23.3,73,0
297.4,308.5,1389,39.2,54,0
297.5,309.3,1404,43.5,195,0
298.7,309.8,1181,65.9,203,1
297.3,308.4,1430,45.7,15,0
298.7,308.6,1499,43.5,84,0
298.9,308.7,1546,43.4,114,0
298.8,309,1661,29.5,162,0
298.8,309.3,1450,44.8,63,0
303.1,312.4,1404,61.5,127,1
297.4,308.2,1424,53.9,120,0
297.4,308.6,1476,42.3,107,0
298.6,309.1,1339,51.1,34,0
297.4,309.2,1420,45.6,193,0
303.7,312.7,1359,56.8,194,1
299.2,310.7,1737,27,225,1
303.4,312.2,1337,69.4,52,1
298.9,308.9,1453,40.8,11,0
298.8,308.9,1852,25,57,0
301.9,310.4,1286,62.8,22,1
298.1,308.2,1482,37.9,17,0
299,309.1,1394,45.1,179,0
296.3,307.2,1319,68.3,24,1
297.5,309.3,1459,49.7,201,0
299.9,310.2,1288,69.6,62,1
302,310.4,1357,58,108,1
302.5,310.9,1330,56.9,97,1
297.4,308.1,1474,39.4,20,0
