Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,random,sr no
300.5,311.8,1524,38.9,214,1,769,286
303.8,313.1,2497,13,5,1,389,234
300.7,311.9,1399,50.2,222,1,462,301
302.2,311.3,1530,37.3,207,1,620,89
302.2,310.6,1346,47.5,109,1,206,125
302.7,310.8,1275,55,25,1,307,186
299.5,308.7,2549,13,179,1,226,57
300.8,311.4,1322,67.2,18,1,475,277
298.7,309.8,1181,65.9,203,1,661,310
301.7,311,1441,44.3,208,1,147,274
302.4,310.7,1362,54.8,155,1,689,129
301.5,310.9,2760,8,15,1,161,82
302.6,310.4,1359,57.2,67,1,252,177
302.4,311.9,1290,70,139,1,536,251
301.6,310.1,1362,55.8,70,1,322,150
301.5,310.4,2639,12,21,1,283,83
303.6,311.8,1222,66.8,148,1,219,205
297.9,307.4,1604,36.1,225,1,119,46
297.3,308.2,1396,52.7,212,1,422,320
302.6,310.9,1331,52,154,1,785,141
302.5,310.2,1329,50.6,148,1,823,170
296.4,307.4,2833,5.6,213,1,735,20
301,312.2,2710,9.7,143,1,507,300
297.8,308.9,1871,25.6,200,1,524,323
300.7,310.2,1364,65.3,208,1,708,253
303,311.3,1365,56.2,146,1,208,192
298.2,308.4,1310,61,189,1,995,44
296.6,307.7,1386,62.3,100,1,106,28
303.4,311.8,1316,50.9,69,1,944,228
302.1,310,1355,45.1,6,1,893,159
303.7,312.1,1363,51.8,90,1,68,229
298.9,310.2,2737,8.8,142,1,409,38
297.8,307.3,1327,61,186,1,461,51
301.9,309.9,1374,48.5,180,1,632,143
302.4,310.2,1331,45.5,53,1,782,162
298.8,309.9,1439,45.2,40,1,42,40
300.8,310.6,1577,37.9,227,1,19,260
302.2,310.6,1334,53.2,159,1,704,130
301.7,309.8,1284,68.2,111,1,556,152
302,309.9,1308,57.6,197,1,820,156
296.9,307.8,1549,35.8,206,1,369,26
298.6,308.2,1361,68.2,172,1,226,339
302.4,310.1,1358,54.6,61,1,325,164
302.4,310.1,1379,48.9,107,1,229,168
297.2,308.1,1431,49.7,210,1,818,319
302,310.4,1212,55.6,79,1,370,122
303.4,311.7,1353,44.1,192,1,348,207
300.6,309.4,1380,47.6,246,1,766,72
300.2,311,1255,71.8,149,1,223,289
297.5,308.1,1334,72,151,1,931,312
302.1,311,1351,60.3,207,1,204,103
301.9,310.4,1373,48,73,1,960,121
297,307.8,1316,61.2,200,1,744,31
302.6,311.6,1227,68.2,187,1,842,100
303.6,311.8,1421,44.8,101,1,168,204
302.6,312.3,1454,54.8,253,1,753,245
303.6,312.8,2659,11.4,26,1,585,235
298,308.2,1365,52.9,218,1,47,45
299,309.9,1373,55.7,201,1,635,329
302.1,310.7,1325,45.1,208,1,436,115
302.3,310.9,1360,44,67,1,808,93
301.1,310.7,2636,12.2,100,1,708,275
302.4,310.3,1374,51.2,163,1,395,171
302.7,311.1,1297,60.7,125,1,583,140
302.4,310.9,1349,46.1,148,1,567,128
303.5,311.9,1344,49.3,93,1,532,220
299.9,310.2,1288,69.6,62,1,681,283
301.9,310.9,1419,47.7,20,1,850,106
297.9,309.8,1336,71.6,31,1,141,18
302,309.8,1280,57.3,147,1,121,154
300.6,310.3,1648,30.5,217,1,965,281
299.2,309,1515,48.9,228,1,579,65
303,311.1,1372,54.3,117,1,219,191
300.4,309.9,2563,12.8,81,1,31,77
301.8,310.3,1341,50.5,64,1,750,149
296.9,307.5,2721,9.3,18,1,641,27
300.6,309.4,1367,63.2,45,1,743,73
302,310.4,1357,58,108,1,681,110
298.1,308.2,1420,63.9,19,1,607,12
299.7,309.3,1399,41.9,221,1,132,68
300.3,311.2,1381,65.2,136,1,166,288
303.8,313,1365,59.9,205,1,703,239
304,312.9,1363,62.5,200,1,472,237
302.5,310.3,1326,58.5,55,1,548,163
301,311,1399,58,190,1,437,259
